keys,en
select_project,Select project folder…
select_sidequest,Select Silly Bird Sidequest executable…
display_name,Enter display name
edit,Edit
add,Add
mod_name,Mod display name
levels,Levels:
skins,Skins:
save,Save
export,Export .sbsq file
fg_tiles,Foreground
special_tiles,Special
file,File
save_before_continue,Would you like to save the project before continuing?
exit_to_project,Exit to project
import_palette_from_texture,Import palette from texture
reload_images,Reload images
test_run,Test run
error_bad_project_dir,"Please select a valid Silly Bird Maker project directory, or an empty directory to create a new project."
error,Error
